1,2,3,4,5,6,7,8,yuyu
-0.007,0.853,1.675,2.529,3.322,4.087,4.898,5.619,6.201
0.004,0.900,1.686,2.509,3.328,4.146,4.886,5.564,6.301
0.035,0.877,1.732,2.526,3.380,4.122,4.897,5.655,6.215
0.012,0.847,1.708,2.603,3.383,4.137,4.917,5.579,6.289
0.025,0.877,1.779,2.582,3.405,4.204,4.890,5.576,6.231
0.004,0.885,1.774,2.600,3.275,4.127,4.867,5.633,6.246
0.077,0.811,1.745,2.525,3.368,4.100,4.813,5.640,6.246
-0.010,0.848,1.745,2.591,3.326,4.132,4.926,5.544,6.219
0.003,0.895,1.617,2.577,3.364,4.142,4.856,5.593,6.308
0.053,0.896,1.693,2.527,3.391,4.122,4.897,5.583,6.257
0.063,0.897,1.683,2.544,3.292,4.136,4.839,5.592,6.235
0.087,0.907,1.725,2.538,3.304,4.115,4.853,5.561,6.258
0.042,0.892,1.782,2.539,3.353,4.035,4.918,5.607,6.242
0.026,0.828,1.733,2.494,3.375,4.068,4.904,5.598,6.209
-0.015,0.914,1.737,2.513,3.372,4.138,4.837,5.535,6.272
0.096,0.826,1.751,2.590,3.365,4.064,4.931,5.607,6.217
0.010,0.813,1.733,2.497,3.291,4.179,4.791,5.559,6.283
0.084,0.905,1.708,2.604,3.378,4.110,4.889,5.609,6.265
0.061,0.893,1.677,2.544,3.403,4.114,4.857,5.578,6.278
0.066,0.906,1.675,2.547,3.281,4.149,4.926,5.577,6.212
-0.038,0.903,1.789,2.472,3.360,4.121,4.890,5.620,6.289
0.037,0.920,1.754,2.456,3.388,4.159,4.914,5.576,6.250
0.003,0.888,1.682,2.523,3.374,4.121,4.858,5.513,6.288
0.071,0.884,1.726,2.535,3.372,4.158,4.953,5.600,6.200
-0.051,0.920,1.800,2.530,3.324,4.111,4.893,5.634,6.260
0.073,0.870,1.672,2.506,3.363,4.126,4.876,5.536,6.276
0.047,0.905,1.717,2.580,3.335,4.134,4.871,5.580,6.288
0.053,0.882,1.704,2.516,3.351,4.131,4.866,5.631,6.202
-0.028,0.888,1.785,2.573,3.388,4.160,4.906,5.526,6.310
-0.032,0.916,1.712,2.556,3.372,4.166,4.851,5.587,6.272
0.072,0.913,1.703,2.586,3.375,4.177,4.887,5.610,6.286
-0.024,0.904,1.635,2.593,3.364,4.115,4.872,5.503,6.200
0.053,0.792,1.743,2.578,3.284,4.168,4.901,5.585,6.187
-0.002,0.830,1.697,2.458,3.270,4.105,4.929,5.602,6.330
0.004,0.893,1.740,2.508,3.403,4.073,4.855,5.611,6.208
0.002,0.798,1.717,2.435,3.396,4.173,4.819,5.619,6.272
0.016,0.859,1.723,2.568,3.363,4.097,4.823,5.548,6.266
0.052,0.877,1.689,2.488,3.351,4.195,4.872,5.605,6.268
0.069,0.881,1.764,2.596,3.338,4.204,4.777,5.601,6.307
0.076,0.808,1.740,2.547,3.418,4.069,4.887,5.575,6.306
0.008,0.885,1.750,2.579,3.352,4.196,4.817,5.609,6.282
0.161,0.840,1.686,2.609,3.343,4.176,4.875,5.605,6.281
0.061,0.890,1.710,2.588,3.370,4.119,4.876,5.539,6.274
0.101,0.899,1.732,2.574,3.387,4.127,4.837,5.657,6.195
0.035,0.877,1.757,2.430,3.269,4.166,4.852,5.498,6.327
0.032,0.908,1.707,2.523,3.317,4.095,4.834,5.583,6.258
-0.015,0.872,1.708,2.514,3.342,4.141,4.889,5.572,6.242
-0.055,0.861,1.699,2.552,3.395,4.131,4.901,5.579,6.333
0.008,0.889,1.680,2.576,3.375,4.146,4.913,5.585,6.274
0.109,0.875,1.773,2.576,3.377,4.087,4.898,5.564,6.282
0.074,0.849,1.738,2.519,3.363,4.083,4.841,5.577,6.267
0.087,0.837,1.795,2.554,3.347,4.127,4.873,5.572,6.189
-0.003,0.858,1.745,2.537,3.385,4.124,4.872,5.563,6.297
0.068,0.852,1.718,2.554,3.316,4.114,4.859,5.545,6.344
0.080,0.894,1.734,2.525,3.375,4.118,4.833,5.560,6.308
0.078,0.827,1.737,2.535,3.396,4.128,4.898,5.618,6.242
0.065,0.891,1.712,2.531,3.347,4.191,4.855,5.585,6.284
0.050,0.858,1.794,2.500,3.374,4.078,4.879,5.630,6.238
0.104,0.913,1.719,2.578,3.319,4.088,4.895,5.588,6.211
0.079,0.850,1.741,2.609,3.330,4.139,4.885,5.562,6.227
0.015,0.883,1.778,2.498,3.359,4.135,4.906,5.669,6.277
0.021,0.897,1.735,2.551,3.421,4.155,4.914,5.561,6.298
0.009,0.929,1.795,2.586,3.358,4.130,4.901,5.646,6.237
0.012,0.843,1.772,2.586,3.275,4.104,4.890,5.507,6.289
0.033,0.872,1.698,2.567,3.347,4.181,4.906,5.630,6.334
-0.028,0.878,1.758,2.593,3.357,4.072,4.842,5.606,6.237
0.031,0.879,1.638,2.579,3.324,4.205,4.913,5.568,6.269
0.016,0.884,1.696,2.532,3.321,4.198,4.853,5.507,6.340
0.048,0.802,1.702,2.560,3.463,4.161,4.887,5.573,6.214
-0.046,0.879,1.796,2.548,3.311,4.159,4.872,5.645,6.337
0.051,0.913,1.662,2.483,3.360,4.148,4.901,5.589,6.239
-0.005,0.877,1.723,2.565,3.390,4.178,4.857,5.609,6.249
-0.022,0.853,1.783,2.578,3.388,4.131,4.874,5.574,6.265
-0.045,0.942,1.760,2.566,3.440,4.148,4.869,5.604,6.174
-0.004,0.945,1.712,2.494,3.340,4.128,4.849,5.551,6.213
0.072,0.838,1.697,2.578,3.336,4.235,4.871,5.568,6.223
0.023,0.930,1.689,2.565,3.424,4.176,4.861,5.553,6.203
0.019,0.827,1.755,2.533,3.412,4.109,4.936,5.588,6.224
0.036,0.856,1.735,2.524,3.358,4.127,4.942,5.611,6.279
0.098,0.818,1.713,2.551,3.322,4.177,4.920,5.552,6.251
-0.073,0.929,1.716,2.502,3.335,4.185,4.864,5.581,6.244
0.040,0.830,1.713,2.473,3.372,4.104,4.920,5.599,6.280
0.054,0.897,1.739,2.487,3.357,4.132,4.899,5.587,6.323
0.087,0.800,1.743,2.565,3.355,4.096,4.913,5.648,6.263
0.012,0.867,1.700,2.574,3.387,4.166,4.811,5.690,6.214
0.000,0.901,1.731,2.536,3.337,4.147,4.941,5.669,6.259
0.027,0.926,1.745,2.550,3.291,4.183,4.855,5.614,6.168
0.052,0.925,1.771,2.578,3.392,4.152,4.872,5.575,6.272
-0.035,0.872,1.666,2.495,3.372,4.110,4.888,5.677,6.286
0.027,0.931,1.733,2.500,3.379,4.223,4.920,5.606,6.265
0.008,0.957,1.748,2.613,3.327,4.114,4.894,5.553,6.243
-0.014,0.873,1.744,2.530,3.324,4.125,4.917,5.600,6.296
0.053,0.890,1.751,2.601,3.404,4.068,4.927,5.655,6.242
0.012,0.854,1.781,2.508,3.322,4.194,4.870,5.610,6.197
0.024,0.851,1.724,2.559,3.368,4.174,4.888,5.633,6.224
